0x7384,uni2F5E,CJK UNIFIED IDEOGRAPH-7384
0x7389,uni2F5F,CJK UNIFIED IDEOGRAPH-7389
0x74dc,uni2F60,CJK UNIFIED IDEOGRAPH-74DC
0x74e6,uni2F61,CJK UNIFIED IDEOGRAPH-74E6
0x7518,uni2F62,CJK UNIFIED IDEOGRAPH-7518
0x751f,uni2F63,CJK UNIFIED IDEOGRAPH-751F
0x7528,uni2F64,CJK UNIFIED IDEOGRAPH-7528
0x7530,uni2F65,CJK UNIFIED IDEOGRAPH-7530
0x758b,uni2F66,CJK UNIFIED IDEOGRAPH-758B
0x7676,uni2F68,CJK UNIFIED IDEOGRAPH-7676
0x767d,uni2F69,CJK UNIFIED IDEOGRAPH-767D
0x76ae,uni2F6A,CJK UNIFIED IDEOGRAPH-76AE
0x76bf,uni2F6B,CJK UNIFIED IDEOGRAPH-76BF
0x76ee,uni2F6C,CJK UNIFIED IDEOGRAPH-76EE
0x77db,uni2F6D,CJK UNIFIED IDEOGRAPH-77DB
0x77e2,uni2F6E,CJK UNIFIED IDEOGRAPH-77E2
0x77f3,uni2F6F,CJK UNIFIED IDEOGRAPH-77F3
0x793a,uni2F70,CJK UNIFIED IDEOGRAPH-793A
0x79be,uni2F72,CJK UNIFIED IDEOGRAPH-79BE
0x7a74,uni2F73,CJK UNIFIED IDEOGRAPH-7A74
0x7acb,uni2F74,CJK UNIFIED IDEOGRAPH-7ACB
0x7adc,uni2EEF,CJK UNIFIED IDEOGRAPH-7ADC
0x7af9,uni2F75,CJK UNIFIED IDEOGRAPH-7AF9
0x7c73,uni2F76,CJK UNIFIED IDEOGRAPH-7C73
0x7cf8,uni2F77,CJK UNIFIED IDEOGRAPH-7CF8
0x7f36,uni2F78,CJK UNIFIED IDEOGRAPH-7F36
0x7f51,uni2F79,CJK UNIFIED IDEOGRAPH-7F51
0x7f8a,uni2F7A,CJK UNIFIED IDEOGRAPH-7F8A
0x7fbd,uni2F7B,CJK UNIFIED IDEOGRAPH-7FBD
0x8001,uni2F7C,CJK UNIFIED IDEOGRAPH-8001
0x800c,uni2F7D,CJK UNIFIED IDEOGRAPH-800C
0x8012,uni2F7E,CJK UNIFIED IDEOGRAPH-8012
0x8033,uni2F7F,CJK UNIFIED IDEOGRAPH-8033
0x807f,uni2F80,CJK UNIFIED IDEOGRAPH-807F
0x8089,uni2F81,CJK UNIFIED IDEOGRAPH-8089
0x81e3,uni2F82,CJK UNIFIED IDEOGRAPH-81E3
0x81ea,uni2F83,CJK UNIFIED IDEOGRAPH-81EA
